i1	i10	i11	i12	i13	i14	i15	i16	i2	i3	i4	i5	i6	i7	i8	i9
OTU_101912_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101924_16S	0	0	1	1	0	0	0	0	0	0	0	1	0	0	0	2
OTU_101927_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101928_16S	1	0	1	0	0	0	0	1	0	0	0	3	1	0	1	0
OTU_10193_16S	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
OTU_101937_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_101941_16S	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_101946_16S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
OTU_101949_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_101957_16S	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101962_16S	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
OTU_10197_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_101972_16S	0	0	0	2	0	0	0	1	0	0	0	3	0	1	1	1
OTU_101979_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
OTU_102_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
OTU_102002_16S	1	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU_102008_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_102013_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_102029_16S	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
OTU_10203_16S	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102057_16S	0	0	1	0	0	0	0	1	0	0	0	0	0	1	0	0
OTU_102059_16S	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0
OTU_102064_16S	0	0	0	0	0	0	0	0	0	1	1	1	0	0	0	0
OTU_102078_16S	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1
OTU_102086_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_102094_16S	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102095_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
OTU_102096_16S	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
OTU_102120_16S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
OTU_102125_16S	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
OTU_102135_16S	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0
